      enumtypid      |       enumlabel       
---------------------+-----------------------
 user_role           | user
 user_role           | admin
 user_role           | packager
 packager_status     | pending
 packager_status     | approved
 packager_status     | suspended
 packager_status     | deactivated
 package_status      | draft
 package_status      | pending_review
 package_status      | published
 package_status      | archived
 package_type        | group
 package_type        | private
 package_type        | honeymoon
 package_type        | family
 package_type        | adventure
 package_type        | pilgrimage
 booking_status      | pending
 booking_status      | confirmed
 booking_status      | cancelled
 booking_status      | completed
 booking_status      | refunded
 booking_status      | document_under_review
 payment_status      | unpaid
 payment_status      | partial
 payment_status      | paid
 payment_status      | refunded
 payment_status      | failed
 review_status       | pending
 review_status       | published
 review_status       | flagged
 review_status       | removed
 media_category      | hotel
 media_category      | transport
 media_category      | food
 media_category      | destination
 media_category      | activity
 media_category      | cover
 document_status     | uploaded
 document_status     | verified
 document_status     | rejected
 notification_type   | booking
 notification_type   | payment
 notification_type   | review
 notification_type   | approval
 notification_type   | system
 notification_type   | message
 transport_mode      | bus
 transport_mode      | train
 transport_mode      | flight
 transport_mode      | car
 transport_mode      | boat
 transport_mode      | van
 transport_mode      | walk
 transport_mode      | other
 meal_type           | breakfast
 meal_type           | lunch
 meal_type           | dinner
 meal_type           | all_inclusive
 meal_type           | none
 day_session         | morning
 day_session         | afternoon
 day_session         | evening
 day_session         | full_day
 message_sender_role | user
 message_sender_role | packager
 inclusion_type      | included
 inclusion_type      | excluded
 inclusion_type      | optional
(69 rows)

